zapis;id;gde;marka;v_bloge;na_sayte;kartochka;itog
drenazhnyy-kolodec-iz-kolec;711;таблица;КС 10-10;7650;2550;/catalog/koltsa-kolodeznye-ks/ks-10-10/;РАСХОЖДЕНИЕ
kak-sobrat-kolodec-komplektom;620;проза;ПК 10;6578;3150;/catalog/kryshki-kolodtsev-pp/pk-10/;РАСХОЖДЕНИЕ
kak-sobrat-kolodec-komplektom;620;проза;ПК 10;13156;3150;/catalog/kryshki-kolodtsev-pp/pk-10/;РАСХОЖДЕНИЕ
kcd-ili-kolco-s-dnishchem;687;проза;ПН 10;3870;1520;/catalog/dnishcha-kolodtsev-pd/pn-10/;РАСХОЖДЕНИЕ
kcd-ili-kolco-s-dnishchem;687;проза;ПН 15;7490;3330;/catalog/dnishcha-kolodtsev-pd/pn-15/;РАСХОЖДЕНИЕ
komplekt-vodopropusknoy-truby;403;проза;ЗК 3.200;95130;15855;/catalog/vodopropusknye-truby-zk/zk-3-200/;РАСХОЖДЕНИЕ
komplekt-vodopropusknoy-truby;403;проза;СТК 5;43054;21527;/catalog/portalnye-stenki-stk/stk-5/;РАСХОЖДЕНИЕ
kryshki-kolodcev-pp-pk-pvg;402;проза;ППЗ 20-1;8820;7510;/catalog/kryshki-kolodtsev-pp/ppz-20-1/;РАСХОЖДЕНИЕ
kryshki-kolodcev-pp-pk-pvg;402;проза;ППЛ 20-1;8660;7350;/catalog/kryshki-kolodtsev-pp/ppl-20-1/;РАСХОЖДЕНИЕ
raschet-kolets-dlya-kolodca;400;проза;КС 10-10;10200;2550;/catalog/koltsa-kolodeznye-ks/ks-10-10/;РАСХОЖДЕНИЕ
raschet-kolets-dlya-kolodca;400;проза;КС 10-5;10920;1520;/catalog/koltsa-kolodeznye-ks/ks-10-5/;РАСХОЖДЕНИЕ
raschet-kolets-dlya-kolodca;400;проза;ПП 10-2;20800;2484;/catalog/kryshki-kolodtsev-pp/pp-10-2/;РАСХОЖДЕНИЕ
drenazhnyy-kolodec-iz-kolec;711;таблица;ПН 10;1520;1520;/catalog/dnishcha-kolodtsev-pd/pn-10/;совпало
drenazhnyy-kolodec-iz-kolec;711;таблица;ПП 10-2;2484;2484;/catalog/kryshki-kolodtsev-pp/pp-10-2/;совпало
fbs-ili-monolitnyy-fundament;708;проза;ФБС 12-4-6;2250;2250;/catalog/fbs-bloki/fbs-12-4-6/;совпало
fbs-ili-monolitnyy-fundament;708;проза;ФБС 24-4-6;3970;3970;/catalog/fbs-bloki/fbs-24-4-6/;совпало
fbs-ili-monolitnyy-fundament;708;проза;ФБС 24-5-6;4750;4750;/catalog/fbs-bloki/fbs-24-5-6/;совпало
fbs-ili-monolitnyy-fundament;708;проза;ФБС 9-4-6;1810;1810;/catalog/fbs-bloki/fbs-9-4-6/;совпало
fbs-kak-poschitat-kolichestvo;684;проза;ФБС 12-4-6;2250;2250;/catalog/fbs-bloki/fbs-12-4-6/;совпало
fbs-kak-poschitat-kolichestvo;684;проза;ФБС 24-3-6;3140;3140;/catalog/fbs-bloki/fbs-24-3-6/;совпало
fbs-kak-poschitat-kolichestvo;684;проза;ФБС 24-4-6;3970;3970;/catalog/fbs-bloki/fbs-24-4-6/;совпало
fbs-kak-poschitat-kolichestvo;684;проза;ФБС 24-5-6;4750;4750;/catalog/fbs-bloki/fbs-24-5-6/;совпало
fbs-kak-poschitat-kolichestvo;684;проза;ФБС 6-4-6;1680;1680;/catalog/fbs-bloki/fbs-6-4-6/;совпало
fbs-kak-poschitat-kolichestvo;684;проза;ФБС 9-4-6;1810;1810;/catalog/fbs-bloki/fbs-9-4-6/;совпало
fundament-f1-pod-dorozhnye-znaki;693;таблица;Ф-1;4837;4837;/catalog/fundamenty-pod-dorozhnye-znaki/f-1/;совпало
kak-sobrat-kolodec-komplektom;620;проза;КО-1;840;840;/catalog/koltsa-kolodeznye-ks/ko-1/;совпало
