slug;ID;cena_v_mete;cena_v_tekste;cena_v_tablice_razdela;cena_prays_2026_06;mest_vsego
bl-1-201-4;1457;11845;11845;11845;11845;7
bl-1-201-4a;1458;6501;6501;6501;6501;7
bl-4-201-8;1459;17703;17703;17703;17703;7
bl-4-201-8a;1460;9042;9042;9042;9042;7
f-1;1473;4837;4837;4837;4837;4
fbs-12-3-6;776;1910;1910;1910;1910;8
fbs-12-4-3;786;1730;1730;1730;1730;10
fbs-12-4-6;777;2250;2250;2250;2250;9
fbs-12-5-6;778;2790;2790;2790;2790;9
fbs-12-6-6;779;3460;3460;3460;3460;8
fbs-24-3-6;772;3140;3140;3140;3140;8
fbs-24-4-6;640;3970;3970;3970;3970;9
fbs-24-5-6;774;4750;4750;4750;4750;9
fbs-24-6-6;775;6040;6040;6040;6040;8
fbs-6-3-6;789;1580;1580;1580;1580;8
fbs-6-4-3;788;1260;1260;1260;1260;9
fbs-6-4-6;785;1680;1680;1680;1680;9
fbs-6-5-6;784;1650;1650;1650;1650;8
fbs-9-3-6;780;1570;1570;1570;1570;8
fbs-9-4-3;787;1730;1730;1730;1730;10
fbs-9-4-6;781;1810;1810;1810;1810;9
fbs-9-5-6;782;2110;2110;2110;2110;9
fbs-9-6-6;783;2420;2420;2420;2420;8
k1-a;838;2400;2400;2400;2400;7
kcd-10-10;830;3770;3770;3770;3770;9
kcd-10-6;828;3360;3360;3360;3360;7
kcd-10-9;829;3480;3480;3480;3480;9
kcd-15-10;832;7450;7450;7450;7450;8
kcd-15-9;831;6960;6960;6960;6960;9
kcd-20-10;834;14110;14110;14110;14110;7
kcd-20-9;833;12150;12150;12150;12150;9
kcd-7-10;827;3040;3040;3040;3040;9
kcd-7-9;826;2890;2890;2890;2890;8
kksr-3;622;;;15240;15240;1
ko-1;835;840;840;840;840;8
ko-1-5;836;1050;1050;1050;1050;8
ko-6;837;790;790;790;790;7
ks-10-10;759;2550;2550;2550;2550;7
ks-10-3;755;1320;1320;1320;1320;7
ks-10-5;756;1520;1520;1520;1520;8
ks-10-6;757;1720;1720;1720;1720;9
