slug;razdel;marka_v_prayse;cena_prays_2026_06
bl-1-201-4;lekalnye-bloki-bl;БЛ 1.201 (№ 4);11845.0
bl-1-201-4a;lekalnye-bloki-bl;БЛ 1.201 (№ 4а);6501.0
bl-4-201-8;lekalnye-bloki-bl;БЛ 4.201 (№ 8);17703.0
bl-4-201-8a;lekalnye-bloki-bl;БЛ 4.201 (№ 8а);9042.0
f-1;fundamenty-pod-dorozhnye-znaki;Ф-1;4837.0
fbs-12-3-6;fbs-bloki;ФБС 12.3.6т;1910.0
fbs-12-4-3;fbs-bloki;ФБС 12.4.3;1730.0
fbs-12-4-6;fbs-bloki;ФБС 12.4.6т;2250.0
fbs-12-5-6;fbs-bloki;ФБС 12.5.6т;2790.0
fbs-12-6-6;fbs-bloki;ФБС 12.6.6т;3460.0
fbs-24-3-6;fbs-bloki;ФБС 24.3.6т;3140.0
fbs-24-4-6;fbs-bloki;ФБС 24.4.6т;3970.0
fbs-24-5-6;fbs-bloki;ФБС 24.5.6т;4750.0
fbs-24-6-6;fbs-bloki;ФБС 24.6.6т;6040.0
fbs-6-3-6;fbs-bloki;ФБС 6.3.6;1580.0
fbs-6-4-3;fbs-bloki;ФБС 6.4.3;1260.0
fbs-6-4-6;fbs-bloki;ФБС 6.4.6;1680.0
fbs-6-5-6;fbs-bloki;ФБС 6.5.6;1650.0
fbs-9-3-6;fbs-bloki;ФБС 9.3.6т;1570.0
fbs-9-4-3;fbs-bloki;ФБС 9.4.3;1730.0
fbs-9-4-6;fbs-bloki;ФБС 9.4.6т;1810.0
fbs-9-5-6;fbs-bloki;ФБС 9.5.6т;2110.0
fbs-9-6-6;fbs-bloki;ФБС 9.6.6т;2420.0
k1-a;koltsa-kolodeznye-ks;К1-А;2400.0
kcd-10-10;koltsa-s-dnom-ktsd;КЦД 10-10 ч;3770.0
kcd-10-6;koltsa-s-dnom-ktsd;КЦД 10-6ч;3360.0
kcd-10-9;koltsa-s-dnom-ktsd;КЦД 10-9 ч;3480.0
kcd-15-10;koltsa-s-dnom-ktsd;КЦД 15-10 ч;7450.0
kcd-15-9;koltsa-s-dnom-ktsd;КЦД 15-9 ч;6960.0
kcd-20-10;koltsa-s-dnom-ktsd;КЦД 20-10 ч;14110.0
kcd-20-9;koltsa-s-dnom-ktsd;КЦД 20-9 ч;12150.0
kcd-7-10;koltsa-s-dnom-ktsd;КЦД 7-10ч;3040.0
kcd-7-9;koltsa-s-dnom-ktsd;КЦД 7-9ч;2890.0
kksr-3;telefonnye-kolodtsy-kks;ККСр-3 10 (80);15240.0
ko-1;koltsa-kolodeznye-ks;КО-1;840.0
ko-1-5;koltsa-kolodeznye-ks;КО-1,5;1050.0
ko-6;koltsa-kolodeznye-ks;КО-6;790.0
ks-10-10;koltsa-kolodeznye-ks;КС 10-10 ч;2550.0
ks-10-3;koltsa-kolodeznye-ks;КС 10-3 ч;1320.0
ks-10-5;koltsa-kolodeznye-ks;КС 10-5 ч;1520.0
ks-10-6;koltsa-kolodeznye-ks;КС 10-6 ч;1720.0
ks-10-9;koltsa-kolodeznye-ks;КС 10-9 ч;2350.0
ks-15-10;koltsa-kolodeznye-ks;КС 15-10 ч;4460.0
ks-15-3;koltsa-kolodeznye-ks;КС 15-3 ч;2500.0
ks-15-5;koltsa-kolodeznye-ks;КС 15-5 ч;2890.0
ks-15-6;koltsa-kolodeznye-ks;КС 15-6 ч;2990.0
ks-15-9;koltsa-kolodeznye-ks;КС 15-9 ч;4160.0
ks-20-10;koltsa-kolodeznye-ks;КС 20-10 ч;7100.0
ks-20-3;koltsa-kolodeznye-ks;КС 20-3 ч;4120.0
ks-20-5;koltsa-kolodeznye-ks;КС 20-5 ч;5140.0
ks-20-6;koltsa-kolodeznye-ks;КС 20-6 ч;5340.0
ks-20-9;koltsa-kolodeznye-ks;КС 20-9 ч;6270.0
ks-25-6;koltsa-kolodeznye-ks;КС 25-6;13910.0
ks-25-9;koltsa-kolodeznye-ks;КС 25-9;17740.0
ks-7-0-1;koltsa-kolodeznye-ks;КС 7-0,1;740.0
ks-7-1-5;koltsa-kolodeznye-ks;КС 7-1,5;740.0
ks-7-10;koltsa-kolodeznye-ks;КС 7-10 ч;1910.0
ks-7-3;koltsa-kolodeznye-ks;КС 7-3 ч;980.0
ks-7-5;koltsa-kolodeznye-ks;КС 7-5 ч;1220.0
ks-7-6;koltsa-kolodeznye-ks;КС 7-6 ч;1320.0
ks-7-9;koltsa-kolodeznye-ks;КС 7-9 ч;1810.0
op-1d;opornye-plity-op;ОП-1Д;5100.0
op-1k;opornye-plity-op;ОП-1К;5100.0
pk-10;kryshki-kolodtsev-pp;ПК 10;3150.0
pk-12;kryshki-kolodtsev-pp;ПК 12;5410.0
pk-15;kryshki-kolodtsev-pp;ПК 15;6710.0
pk-20;kryshki-kolodtsev-pp;ПК 20;14410.0
pk-25;kryshki-kolodtsev-pp;ПК 25;33500.0
pn-10;dnishcha-kolodtsev-pd;ПН 10;1520.0
pn-12;dnishcha-kolodtsev-pd;ПН 12;2160.0
pn-15;dnishcha-kolodtsev-pd;ПН 15;3330.0
pn-20;dnishcha-kolodtsev-pd;ПН 20;5930.0
pn-25;dnishcha-kolodtsev-pd;ПН 25;18480.0
pn-7;dnishcha-kolodtsev-pd;ПН 7;890.0
pn-8;dnishcha-kolodtsev-pd;ПН 8;1520.0
pp-10-1;kryshki-kolodtsev-pp;ПП 10-1;1470.0
pp-10-2;kryshki-kolodtsev-pp;ПП 10-2;1810.0
pp-12-2;kryshki-kolodtsev-pp;ПП 12-2;2300.0
pp-15-1;kryshki-kolodtsev-pp;ПП 15-1;3410.0
pp-15-2;kryshki-kolodtsev-pp;ПП 15-2;3680.0
pp-20-1;kryshki-kolodtsev-pp;ПП 20-1;5830.0
pp-20-2;kryshki-kolodtsev-pp;ПП 20-2;6810.0
pp-25-2;kryshki-kolodtsev-pp;ПП 25-2;20790.0
pp-8-1;kryshki-kolodtsev-pp;ПП 8-1;1420.0
ppl-10-1;kryshki-kolodtsev-pp;ППЛ 10-1;3100.0
ppl-10-2;kryshki-kolodtsev-pp;ППЛ 10-2;3500.0
ppl-15-1;kryshki-kolodtsev-pp;ППЛ 15-1;5410.0
ppl-15-2;kryshki-kolodtsev-pp;ППЛ 15-2;5930.0
ppl-20-1;kryshki-kolodtsev-pp;ППЛ 20-1;7350.0
ppl-20-2;kryshki-kolodtsev-pp;ППЛ 20-2;8660.0
ppz-10-1;kryshki-kolodtsev-pp;ППЗ 10-1;1580.0
ppz-10-2;kryshki-kolodtsev-pp;ППЗ 10-2;2150.0
ppz-15-1;kryshki-kolodtsev-pp;ППЗ 15-1;3780.0
ppz-15-2;kryshki-kolodtsev-pp;ППЗ 15-2;4830.0
ppz-20-1;kryshki-kolodtsev-pp;ППЗ 20-1;7510.0
ppz-20-2;kryshki-kolodtsev-pp;ППЗ 20-2;8820.0
pvg-15;kryshki-kolodtsev-pp;ПВГ 15;8240.0
pvg-20;kryshki-kolodtsev-pp;ПВГ 20;15190.0
pvg-25;kryshki-kolodtsev-pp;ПВГ 25;33500.0
stk-10;otkosnye-stenki;СТК 10 (СТ-4) л/п;17631.0
stk-11;otkosnye-stenki;СТК 11 (СТ-5) л/п;21371.0
stk-12;otkosnye-stenki;СТК 12 (СТ-6) л/п;28180.0
