url;http_kod;bayt;title;description;og_image;og_title;h1_shtuk
https://regiongbi.ru/blog/;200;98436;Статьи о ЖБИ — маркировка, ГОСТ, подбор изделий;Статьи о ЖБИ для инженерных сетей и дорожного строительства: подбор марок, расчёт колодцев, комплекты водопропускных труб, классы люков.;https://regiongbi.ru/og-default.png;Статьи о ЖБИ — маркировка, ГОСТ, подбор изделий;1
https://regiongbi.ru/fundament-f1-pod-dorozhnye-znaki/;200;102856;Фундамент Ф-1 под дорожный знак: вес, цена, установка;Что такое фундамент Ф-1 по серии 3.503.9-80: размеры 1100×700×700 мм, масса 850 кг, цена. Сколько блоков нужно на знак и на щитовую конструкцию, как считать поставку.;https://regiongbi.ru/og-default.png;Фундамент Ф-1 под дорожный знак: вес, цена, установка;1
https://regiongbi.ru/lekalnye-bloki-bl-zachem-nuzhny/;200;101836;Лекальные блоки БЛ: зачем нужны под звенья труб;Зачем под круглое звено водопропускной трубы нужен лекальный блок БЛ, как он работает и как подобрать под диаметр. Когда нужен, а когда нет. РегионЖБИ, ЦФО.;https://regiongbi.ru/og-default.png;Лекальные блоки БЛ: зачем нужны под звенья труб;1
https://regiongbi.ru/portalnye-ili-otkosnye-stenki/;200;104249;Портальные и откосные стенки СТК: что где ставят;Чем портальная стенка отличается от откосной у водопропускной трубы, сколько стенок на оголовок, как подобрать по диаметру и насыпи. РегионЖБИ, ЦФО.;https://regiongbi.ru/og-default.png;Портальные и откосные стенки СТК: что где ставят;1
https://regiongbi.ru/zk-ili-zkp-v-chem-raznica/;200;105844;ЗК или ЗКП: круглые звенья и звенья на плоском опирании;Чем звено круглой трубы ЗК отличается от звена на плоском опирании ЗКП: опирание, основание, лекальные блоки, подбор под грунт и насыпь. РегионЖБИ, ЦФО.;https://regiongbi.ru/og-default.png;ЗК или ЗКП: круглые звенья и звенья на плоском опирании;1
https://regiongbi.ru/komplekt-vodopropusknoy-truby/;200;104956;Комплект водопропускной трубы: звенья ЗК, блоки БЛ, оголовки;Что входит в водопропускную трубу под дорогой: звенья ЗК и ЗКП, лекальные блоки БЛ, портальные и откосные стенки. Цены, массы и пример расчёта на трубу Ø1000.;https://regiongbi.ru/og-default.png;Комплект водопропускной трубы: звенья ЗК, блоки БЛ, оголовки;1
https://regiongbi.ru/kak-podobrat-lotok-nkl/;200;100744;Как подобрать лоток НКЛ по сечению канала;Как подобрать лоток НКЛ по сечению канала: диаметр и число труб, зазоры, глубина, плита днища ЛД и перекрытие ВП, серия 3.006. РегионЖБИ, ЦФО.;https://regiongbi.ru/og-default.png;Как подобрать лоток НКЛ по сечению канала;1
https://regiongbi.ru/vp-ili-pk-v-chem-raznica/;200;108744;ВП или ПК: в чём разница плит перекрытия;Чем плита перекрытия канала ВП отличается от пустотной ПК/ПБ для зданий: назначение, серия, маркировка, нагрузка. Как не заказать не то. РегионЖБИ, ЦФО.;https://regiongbi.ru/og-default.png;ВП или ПК: в чём разница плит перекрытия;1
https://regiongbi.ru/kak-sobrat-kolodec-komplektom/;200;110572;Как собрать колодец комплектом: днище, кольца, люк;Из чего собирается сборный железобетонный колодец: днище ПД, кольца КС, плита перекрытия ПП, опорная плита ОП, люк. Порядок сборки и комплект по ГОСТ 8020-2016.;https://regiongbi.ru/og-default.png;Как собрать колодец комплектом: днище, кольца, люк;1
https://regiongbi.ru/kolodtsy-vg-vs-vd-otlichiya/;200;115783;Колодцы ВГ, ВС, ВД: чем отличаются и какой выбрать;Унифицированные колодцы ВГ, ВС и ВД: что означают буквы, для каких сетей каждый тип и как подобрать марку по диаметру камеры. Гид для снабженцев.;https://regiongbi.ru/og-default.png;Колодцы ВГ, ВС, ВД: чем отличаются и какой выбрать;1
