slug;ID;razdel;slov_vsego;slov_bez_tablic;predlozheniy;dolya_povtorov_proc
blok-protivofiltratsionnogo-ekrana;112;blok-protivofiltratsionnogo-ekrana (страница раздела);310;282;24;37.5
catalog;100;catalog (корень раздела);636;259;12;33.3
pd-15;654;dnishcha-kolodtsev-pd;1086;944;59;6.8
pn-10;792;dnishcha-kolodtsev-pd;295;242;20;100.0
pn-12;793;dnishcha-kolodtsev-pd;290;236;20;100.0
pn-15;794;dnishcha-kolodtsev-pd;297;243;20;100.0
pn-20;795;dnishcha-kolodtsev-pd;289;241;20;100.0
pn-25;796;dnishcha-kolodtsev-pd;283;241;20;100.0
pn-7;790;dnishcha-kolodtsev-pd;285;244;20;100.0
pn-8;791;dnishcha-kolodtsev-pd;285;238;20;100.0
dnishcha-kolodtsev-pd;106;dnishcha-kolodtsev-pd (страница раздела);433;370;26;34.6
dobornye-elementy-kanalov;860;dobornye-elementy-kanalov (страница раздела);819;249;14;50.0
dorozhnoe-zhbi;626;dorozhnoe-zhbi (страница раздела);932;853;57;0.0
bryansk;625;dostavka;682;554;38;50.0
kaluga;583;dostavka;624;486;31;32.3
kursk;642;dostavka;707;567;36;47.2
lipetsk;643;dostavka;765;620;40;50.0
oryol;644;dostavka;736;588;38;47.4
ryazan;584;dostavka;662;531;36;13.9
smolensk;623;dostavka;637;511;34;58.8
tambov;645;dostavka;728;586;38;44.7
tula;585;dostavka;631;501;31;35.5
tver;586;dostavka;594;462;34;35.3
vladimir;587;dostavka;648;522;36;25.0
voronezh;641;dostavka;719;576;39;53.8
yaroslavl;624;dostavka;648;518;37;24.3
elementy-kollektorov;101;elementy-kollektorov (страница раздела);686;353;24;25.0
fbs-12-3-6;776;fbs-bloki;308;252;18;100.0
fbs-12-4-3;786;fbs-bloki;326;254;18;100.0
fbs-12-4-6;777;fbs-bloki;316;252;18;100.0
fbs-12-5-6;778;fbs-bloki;313;249;18;100.0
fbs-12-6-6;779;fbs-bloki;308;252;18;100.0
fbs-24-3-6;772;fbs-bloki;309;253;18;100.0
fbs-24-4-6;640;fbs-bloki;317;253;18;100.0
fbs-24-5-6;774;fbs-bloki;314;250;18;100.0
fbs-24-6-6;775;fbs-bloki;309;253;18;100.0
fbs-6-3-6;789;fbs-bloki;316;260;19;100.0
fbs-6-4-3;788;fbs-bloki;326;262;19;100.0
fbs-6-4-6;785;fbs-bloki;324;260;19;100.0
fbs-6-5-6;784;fbs-bloki;313;257;19;100.0
fbs-9-3-6;780;fbs-bloki;309;253;18;100.0
fbs-9-4-3;787;fbs-bloki;327;255;18;100.0
fbs-9-4-6;781;fbs-bloki;317;253;18;100.0
fbs-9-5-6;782;fbs-bloki;314;250;18;100.0
fbs-9-6-6;783;fbs-bloki;309;253;18;100.0
fbs-bloki;107;fbs-bloki (страница раздела);595;407;33;18.2
f-1;1473;fundamenty-pod-dorozhnye-znaki;309;284;24;29.2
fundamenty-pod-dorozhnye-znaki;113;fundamenty-pod-dorozhnye-znaki (страница раздела);366;331;25;28.0
vd-8;846;kolodtsy-unifitsirovannye;274;233;18;88.9
vg-10;839;kolodtsy-unifitsirovannye;290;243;18;100.0
vg-12;840;kolodtsy-unifitsirovannye;290;237;18;100.0
vg-15;841;kolodtsy-unifitsirovannye;297;244;18;100.0
vg-20;842;kolodtsy-unifitsirovannye;283;242;18;100.0
vs-10;843;kolodtsy-unifitsirovannye;292;239;18;100.0
vs-12;844;kolodtsy-unifitsirovannye;286;233;18;100.0
vs-15;845;kolodtsy-unifitsirovannye;287;240;18;100.0
kolodtsy-unifitsirovannye;102;kolodtsy-unifitsirovannye (страница раздела);515;443;32;9.4
k1-a;838;koltsa-kolodeznye-ks;266;219;17;82.4
ko-1;835;koltsa-kolodeznye-ks;270;218;16;93.8
ko-1-5;836;koltsa-kolodeznye-ks;271;219;16;93.8
ko-6;837;koltsa-kolodeznye-ks;263;217;17;88.2
ks-10-10;759;koltsa-kolodeznye-ks;366;306;22;100.0
ks-10-3;755;koltsa-kolodeznye-ks;363;303;22;100.0
ks-10-5;756;koltsa-kolodeznye-ks;368;301;22;100.0
ks-10-6;757;koltsa-kolodeznye-ks;378;304;22;100.0
ks-10-9;649;koltsa-kolodeznye-ks;365;298;21;100.0
ks-15-10;764;koltsa-kolodeznye-ks;367;307;22;100.0
ks-15-3;760;koltsa-kolodeznye-ks;364;304;22;100.0
ks-15-5;761;koltsa-kolodeznye-ks;369;302;22;100.0
ks-15-6;762;koltsa-kolodeznye-ks;379;305;22;100.0
ks-15-9;650;koltsa-kolodeznye-ks;366;299;21;100.0
ks-20-10;769;koltsa-kolodeznye-ks;363;303;23;100.0
ks-20-3;765;koltsa-kolodeznye-ks;360;300;23;100.0
ks-20-5;766;koltsa-kolodeznye-ks;365;298;23;100.0
ks-20-6;767;koltsa-kolodeznye-ks;375;301;23;100.0
ks-20-9;768;koltsa-kolodeznye-ks;362;295;22;100.0
ks-25-6;770;koltsa-kolodeznye-ks;346;300;22;100.0
ks-25-9;771;koltsa-kolodeznye-ks;348;302;22;100.0
ks-7-0-1;748;koltsa-kolodeznye-ks;365;314;22;100.0
ks-7-1-5;749;koltsa-kolodeznye-ks;372;314;22;100.0
ks-7-10;754;koltsa-kolodeznye-ks;371;311;22;100.0
ks-7-3;750;koltsa-kolodeznye-ks;381;308;22;100.0
ks-7-5;751;koltsa-kolodeznye-ks;379;306;22;100.0
ks-7-6;752;koltsa-kolodeznye-ks;382;309;22;100.0
ks-7-9;753;koltsa-kolodeznye-ks;370;303;21;100.0
koltsa-kolodeznye-ks;108;koltsa-kolodeznye-ks (страница раздела);689;459;32;25.0
kcd-10-10;830;koltsa-s-dnom-ktsd;321;256;20;100.0
kcd-10-6;828;koltsa-s-dnom-ktsd;306;256;20;100.0
kcd-10-9;829;koltsa-s-dnom-ktsd;321;256;20;100.0
kcd-15-10;832;koltsa-s-dnom-ktsd;315;257;20;100.0
kcd-15-9;831;koltsa-s-dnom-ktsd;322;257;20;100.0
kcd-20-10;834;koltsa-s-dnom-ktsd;306;255;20;100.0
kcd-20-9;833;koltsa-s-dnom-ktsd;320;255;20;100.0
kcd-7-10;827;koltsa-s-dnom-ktsd;320;256;20;100.0
kcd-7-9;826;koltsa-s-dnom-ktsd;313;256;20;100.0
koltsa-s-dnom-ktsd;109;koltsa-s-dnom-ktsd (страница раздела);594;505;35;31.4
pk-10;818;kryshki-kolodtsev-pp;295;236;18;100.0
pk-12;819;kryshki-kolodtsev-pp;277;239;18;100.0
pk-15;820;kryshki-kolodtsev-pp;291;246;18;100.0
pk-20;821;kryshki-kolodtsev-pp;295;244;18;100.0
pk-25;822;kryshki-kolodtsev-pp;281;244;18;100.0
pp-10-1;798;kryshki-kolodtsev-pp;306;261;19;100.0
pp-10-2;799;kryshki-kolodtsev-pp;313;261;19;100.0
pp-12-2;800;kryshki-kolodtsev-pp;292;255;19;100.0
pp-15-1;801;kryshki-kolodtsev-pp;313;262;19;100.0
pp-15-2;802;kryshki-kolodtsev-pp;320;262;19;100.0
pp-20-1;803;kryshki-kolodtsev-pp;305;260;19;100.0
pp-20-2;804;kryshki-kolodtsev-pp;312;260;19;100.0
pp-25-2;805;kryshki-kolodtsev-pp;310;251;19;100.0
pp-8-1;797;kryshki-kolodtsev-pp;307;248;19;100.0
ppl-10-1;817;kryshki-kolodtsev-pp;306;261;21;100.0
ppl-10-2;816;kryshki-kolodtsev-pp;313;261;21;100.0
ppl-15-1;815;kryshki-kolodtsev-pp;307;262;21;100.0
ppl-15-2;814;kryshki-kolodtsev-pp;314;262;21;100.0
ppl-20-1;813;kryshki-kolodtsev-pp;317;260;21;100.0
ppl-20-2;812;kryshki-kolodtsev-pp;318;260;21;100.0
ppz-10-1;811;kryshki-kolodtsev-pp;321;262;21;100.0
ppz-10-2;810;kryshki-kolodtsev-pp;321;262;21;100.0
ppz-15-1;809;kryshki-kolodtsev-pp;322;263;21;100.0
ppz-15-2;808;kryshki-kolodtsev-pp;322;263;21;100.0
ppz-20-1;807;kryshki-kolodtsev-pp;320;261;21;100.0
ppz-20-2;806;kryshki-kolodtsev-pp;320;261;21;100.0
