kolodtsy-unifitsirovannye;Марки ВС отличаются высотой и вариантами отверстий, ВД-8 — компактный колодец малого диаметра под простые узлы
kolodtsy-unifitsirovannye;Чем ВГ-15 отличается от ВГ-20?
opornye-plity-op;Чем отличаются марки
opornye-plity-op;Чем ОП-1К отличается от ОП-1Д?
opornye-plity-op;Полезное: Опорная плита ОП или крышка ПП — чем отличаются
plity-perekrytiya-kanalov-vp;Плиты ВП и пустотные ПК/ПБ: в чём разница и что заказывать — ВП и пустотные ПК — разные изделия
koltsa-s-dnom-ktsd;Оно ставится в основание колодца вместо связки «отдельное днище ПД + кольцо КС»: получается герметичный нижний узел без стыка по дну, куда обычно и подсасывает грунтовую воду
koltsa-s-dnom-ktsd;Кольцо с монолитным дном: одно изделие вместо пары «днище плюс кольцо»
koltsa-s-dnom-ktsd;КЦД берут, когда нужен монолитный низ без стыка: дно и стенка — одно изделие, нет шва по основанию, монтаж быстрее — ставится одна деталь вместо двух
kryshki-kolodtsev-pp;Чем ПП отличается от ПК?
kryshki-kolodtsev-pp;Полезное: Опорная плита ОП или крышка ПП — чем отличаются
lyuki-chugunnye;Отличаются размером и массой решётки, ДБ крупнее и тяжелее, ДК — компактнее
lyuki-chugunnye;Чем ЛЧ-Т отличается от ЛЧ-ТМР?
blok-protivofiltratsionnogo-ekrana;Чем БФ отличается от БЭ?
zvenya-ploskoe-opiranie-zkp;Чем ЗКП отличается от ЗК
zvenya-ploskoe-opiranie-zkp;Полезное: ЗК или ЗКП — в чём разница опирания и что выбрать
vodopropusknye-truby-zk;Полезное: ЗК или ЗКП — в чём разница опирания и что выбрать
koltsa-dlya-inzhenernyh-setey;Когда вместо колец берут КЦД
koltsa-dlya-inzhenernyh-setey;изделие вместо пары, на один стык меньше
koltsa-dlya-inzhenernyh-setey;грунтовой воды, и там, где до воды близко, лишний шов обходится дороже разницы
vodopropusknaya-truba-komplekt;Чем отличаются ЗК и ЗКП
kaluga;Калужское направление отличается от соседних тем, что здесь много новых площадок: индустриальные парки, логистические комплексы, производственные корпуса и всё, что вокруг них — внутренние дороги, наружные сети, кабельная канализация, ливнёвка
ryazan;Там, где основание должно быть герметичным, ставят кольца с дном КЦД 10, КЦД 15, КЦД 20 — КЦД : монолитное дно вместо стыка кольца с днищем
tver;Одна машина вместо трёх поставок — кольца КС , опорные плиты , крышки ПП
lestnicy-dlya-kolodcev;Чем отличается КЛ от ВЛ-2?
vl-2;От канализационной КЛ отличается назначением и, при том же диаметре прутка, более доступной ценой
vl-2;Чем ВЛ-2 отличается от КЛ?
kl;От водосточной ВЛ-2 отличается назначением и, при том же диаметре прутка, более высокой прочностью и ценой
kl;Если по проекту вместо сплошной лестницы нужны ступени в стенке, добавляют ходовые скобы
